fk_modul_id;Artengruppe;BV_Art;Fokus;Sphaere;Biol_Fokus_f;Sphaere_f;Progrshort
a07121ef-f5f4-4ed0-9a73-202a76b4d5aa;Fische;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
a07121ef-f5f4-4ed0-9a73-202a76b4d5aa;Andere;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
d1614c5e-3fcf-4164-a29a-1baf7f2f56c6;Andere Wirbellose;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
d1614c5e-3fcf-4164-a29a-1baf7f2f56c6;Krebstiere;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
b151a5eb-12ca-40c2-8d27-0899c0243dbe;Algen;Artenhäufigkeiten;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
b151a5eb-12ca-40c2-8d27-0899c0243dbe;Mollusken;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
b151a5eb-12ca-40c2-8d27-0899c0243dbe;Andere;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
b151a5eb-12ca-40c2-8d27-0899c0243dbe;Fische;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
b151a5eb-12ca-40c2-8d27-0899c0243dbe;Krebstiere;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
80a73edb-206e-4070-a2da-c1ef20c62dc5;Andere Wirbellose;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
80a73edb-206e-4070-a2da-c1ef20c62dc5;Krebstiere;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
80a73edb-206e-4070-a2da-c1ef20c62dc5;Mollusken;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
80a73edb-206e-4070-a2da-c1ef20c62dc5;Algen;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
80a73edb-206e-4070-a2da-c1ef20c62dc5;Fische;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
